Campaign Name,Audience Name,Send Time,Status,Emails Sent,Open Rate,Click Rate,Unsubscribed
FOGGS June Update (copy 02),Former UN Staff,2023-06-30T10:03:48+00:00,,252,0.7420634920634921,0.08333333333333333,1
FOGGS July-August 2023 Update,"FOGGS (Emailing List, Team)",2023-08-31T09:00:00+00:00,,1726,0.44339622641509435,0.1544811320754717,5
FOGGS July-August 2023 Update (copy 01),FOGGS,2023-08-31T09:02:05+00:00,,194,0.5578947368421052,0.18947368421052632,1
Online Invitees for NY Event,Online Participants,2023-09-11T17:44:54+00:00,,53,0.8461538461538461,0.34615384615384615,0
Online Invitees for NY Event (copy 01),Online Participants,2023-09-14T23:27:41+00:00,,12,0.8333333333333334,0.4166666666666667,0
FOGGS Sep-Oct 2023 Update,"FOGGS (Emailing List, Team)",2023-10-19T11:00:00+00:00,,1718,0.4645390070921986,0.17257683215130024,1
FOGGS Sep-Oct 2023 Update (copy 01),FOGGS,2023-10-19T11:00:00+00:00,,198,0.5282051282051282,0.19487179487179487,0
,Extra Audience,2023-10-29T08:00:00+00:00,,209,0.8823529411764706,0.46568627450980393,0
FOGGS Nov 2023 Update,"FOGGS (Emailing List, Team)",2023-11-10T12:37:24+00:00,,1690,0.44678292242934453,0.01803968731208659,4
FOGGS Nov 2023 Update (copy 01),FOGGS,2023-11-10T12:38:31+00:00,,500,0.6883910386965377,0.11608961303462322,3
Thank you for signing,Extra Audience,2023-11-29T10:38:59+00:00,,317,0.7967741935483871,0.24516129032258063,3
FOGGS Dec 2023 Update,"FOGGS (Emailing List, Team)",2023-12-20T10:00:00+00:00,,1680,0.3450363196125908,0.007869249394673124,8
FOGGS Dec 2023 Update (copy 01),FOGGS,2023-12-20T10:00:00+00:00,,497,0.6188524590163934,0.07172131147540983,6
Call for UNSC resolution 2720 Immediate Follow-Up Signature,Extra Audience,2023-12-27T15:27:19+00:00,,312,0.7824675324675324,0.2922077922077922,3
FOGGS Jan 2024 Update,FOGGS,2024-01-31T10:00:00+00:00,,490,0.6507276507276507,0.0997920997920998,2
FOGGS Jan 2024 Update (copy 01),"FOGGS (Emailing List, Team)",2024-01-31T10:00:00+00:00,,1662,0.42446483180428135,0.014678899082568808,5
FOGGS Feb 2024 Update,FOGGS,2024-02-27T10:00:00+00:00,,494,0.6378600823045267,0.08024691358024691,2
FOGGS Feb 2024 Update (copy 01),"FOGGS (Emailing List, Team)",2024-02-27T10:00:00+00:00,,1652,0.4246153846153846,0.019076923076923078,9
ThanksForRegistering,Extra Audience,2024-02-29T17:19:20+00:00,,91,0.8461538461538461,0.43956043956043955,0
FOGGS March 2024 Update,FOGGS,2024-03-29T13:26:37+00:00,,496,0.6612244897959184,0.07755102040816327,3
FOGGS March 2024 Update (copy 01),"FOGGS (Emailing List, Team)",2024-03-29T13:26:19+00:00,,1636,0.46048537647790916,0.013067828251400125,2
FOGGS April 2024 Update,FOGGS,2024-04-29T12:13:58+00:00,,497,0.6435845213849287,0.109979633401222,5
FOGGS April 2024 Update (copy 02),"FOGGS (Emailing List, Team)",2024-04-29T12:15:48+00:00,,1626,0.42428035043804757,0.016270337922403004,8
FOGGS May 2024 Update,"FOGGS (Emailing List, Team)",2024-05-31T09:00:00+00:00,,1613,0.369880277252678,0.02142407057340895,3
FOGGS May 2024 Update (copy 01),FOGGS,2024-05-31T09:00:00+00:00,,496,0.6336032388663968,0.0708502024291498,4
Open Letter to Principal UN Organs,Extra Audience,2024-05-31T16:43:35+00:00,,422,0.7908653846153846,0.33413461538461536,0
[Re-sent] Open Letter to Principal UN Organs,Extra Audience,2024-06-02T08:16:16+00:00,,126,0.48333333333333334,0.2,1
FOGGS June 2024 Update,"FOGGS (Emailing List, Team)",2024-06-28T08:14:29+00:00,,1606,0.4306523115896137,0.013932868904369854,4
FOGGS June 2024 Update (copy 01),FOGGS,2024-06-28T08:13:59+00:00,,493,0.6252545824847251,0.06517311608961303,0
FOGGS July-Aug 2024 Update,FOGGS,2024-08-28T11:15:00+00:00,,502,0.6510204081632653,0.07346938775510205,4
FOGGS July-Aug 2024 Update (copy 01),"FOGGS (Emailing List, Team)",2024-08-28T11:15:00+00:00,,1599,0.4608030592734226,0.021032504780114723,3
FOGGS Sep 2024 Update,FOGGS,2024-09-27T09:00:00+00:00,,499,0.6591836734693878,0.10204081632653061,3
FOGGS Sep 2024 Update (copy 01),"FOGGS (Emailing List, Team)",2024-09-27T09:00:00+00:00,,1588,0.42838874680306904,0.023017902813299233,4
PRG Statement - War in Gaza and Lebanon,Extra Audience,2024-10-20T06:59:00+00:00,,475,0.7607758620689655,0.26939655172413796,1
PRG Statement - War in Gaza and Lebanon (copy 01),Extra Audience,2024-10-24T08:34:42+00:00,,632,0.7228525121555915,0.18638573743922204,4
PRG Statement - War in Gaza and Lebanon (copy 02),Extra Audience,2024-10-24T15:59:19+00:00,,209,0.48148148148148145,0.08465608465608465,2
FOGGS Oct 2024 Update,"FOGGS (Emailing List, Team)",2024-10-31T15:22:19+00:00,,1840,0.530454042081949,0.1345514950166113,6
FOGGS Oct 2024 Update (copy 01),FOGGS,2024-10-31T15:23:12+00:00,,498,0.6186612576064908,0.10953346855983773,2
FOGGS Nov 2024 Update,"FOGGS (Emailing List, Team)",2024-11-29T10:30:00+00:00,,1823,0.4792243767313019,0.0221606648199446,10
FOGGS Nov 2024 Update (copy 01),FOGGS,2024-11-29T10:30:00+00:00,,500,0.6396761133603239,0.0465587044534413,2
FOGGS Dec 2024 Update,"FOGGS (Emailing List, Team)",2024-12-20T10:01:25+00:00,,1811,0.451505016722408,0.0189520624303233,9
FOGGS Dec 2024 Update (copy 01),FOGGS,2024-12-20T10:02:10+00:00,,497,0.6448979591836734,0.04081632653061224,4
FOGGS Jan 2025 Update,"FOGGS (Emailing List, Team)",2025-01-28T11:00:00+00:00,,1800,0.3939223410241981,0.022509848058525603,8
FOGGS Jan 2025 Update (copy 01),FOGGS,2025-01-28T11:00:00+00:00,,494,0.5983606557377049,0.05942622950819672,0
FOGGS Feb 2025 Update,"FOGGS (Emailing List, Team)",2025-02-28T09:30:00+00:00,,1789,0.40384615384615385,0.022058823529411766,4
FOGGS Feb 2025 Update (copy 01),FOGGS,2025-02-28T09:30:00+00:00,,491,0.49382716049382713,0.05761316872427984,1
,Extra Audience,2025-03-06T13:24:51+00:00,,248,0.5925925925925926,0.09465020576131687,0
FOGGS March 2025 Update,"FOGGS (Emailing List, Team)",2025-03-31T13:15:00+00:00,,1776,0.41082621082621085,0.019373219373219373,9
FOGGS March 2025 Update (copy 01),FOGGS,2025-03-31T13:15:00+00:00,,492,0.486652977412731,0.04106776180698152,1
Next open consultation,Extra Audience,2025-04-07T07:21:08+00:00,,256,0.616,0.124,0
FOGGS April 2025 Update,FOGGS,2025-04-30T09:15:00+00:00,,492,0.47638603696098564,0.061601642710472276,3
FOGGS April 2025 Update (copy 01),"FOGGS (Emailing List, Team)",2025-04-30T09:15:00+00:00,,1759,0.3092369477911647,0.0189328743545611,4
"Next open consultation, May 2025",Extra Audience,2025-05-02T06:59:56+00:00,,294,0.5972222222222222,0.05555555555555555,0
"Next open consultation, May 2025 (copy 01)",Extra Audience,2025-05-02T07:35:44+00:00,,294,0.6180555555555556,0.1111111111111111,0
PRG Statement - UN Charter at 80,Extra Audience,2025-05-23T14:42:11+00:00,,620,0.7194127243066885,0.2398042414355628,0
"Next open consultation, June 2025",Extra Audience,2025-05-27T10:02:03+00:00,,344,0.6646884272997032,0.12166172106824925,1
Call - UN Charter at 80,Extra Audience,2025-05-30T07:30:41+00:00,,618,0.7156862745098039,0.13398692810457516,3
FOGGS May 2025 Update,FOGGS,2025-05-30T16:23:35+00:00,,495,0.6693877551020408,0.07142857142857142,2
FOGGS May 2025 Update (copy 02),"FOGGS (Emailing List, Team)",2025-05-30T16:24:13+00:00,,1747,0.5069524913093859,0.01738122827346466,3
Signatories - UN Charter at 80 Issue,Extra Audience,2025-06-26T10:29:18+00:00,,776,0.6935064935064935,0.10909090909090909,3
FOGGS Community - UN Charter at 80 Issue,Extra Audience,2025-06-26T11:30:55+00:00,,377,0.654054054054054,0.14324324324324325,1
Permanent Missions - UN Charter at 80 Issue,Extra Audience,2025-06-26T14:50:26+00:00,,201,0.43169398907103823,0.03825136612021858,2
FOGGS Update June 2025,"FOGGS (Emailing List, Team)",2025-06-30T07:54:58+00:00,,1739,0.33080955154338965,0.021549213744903904,4
FOGGS Update June 2025 (copy 01),FOGGS,2025-06-30T07:54:42+00:00,,503,0.494,0.076,2
"Next open consultation, July 2025 ",Extra Audience,2025-07-08T07:15:00+00:00,,368,0.6612021857923497,0.11748633879781421,2
FOGGS Update July 2025,"FOGGS (Emailing List, Team)",2025-07-31T07:00:00+00:00,,1730,0.32397660818713453,0.01929824561403509,4
FOGGS Update July 2025 (copy 01),FOGGS,2025-07-31T07:00:00+00:00,,504,0.462,0.042,2
FOGGS Update August 2025,"FOGGS (Emailing List, Team)",2025-08-29T07:13:57+00:00,,1722,0.3868312757201646,0.02586713697824809,3
FOGGS Update August 2025 (copy 01),FOGGS,2025-08-29T07:13:31+00:00,,500,0.4888888888888889,0.048484848484848485,3
FOGGS Update September 2025,"FOGGS (Emailing List, Team)",2025-09-30T10:00:40+00:00,,1716,0.31005917159763313,0.015384615384615385,5
FOGGS Update September 2025 (copy 01),FOGGS,2025-09-30T10:01:26+00:00,,502,0.41566265060240964,0.04216867469879518,5
UN Day - Permanent Missions - UN Charter at 80,Extra Audience,2025-10-24T15:08:56+00:00,,387,0.48725212464589235,0.0453257790368272,3
UN Day - Permanent Missions - UN Charter at 80 (copy 01),"FOGGS (Emailing List, Team)",2025-10-24T15:11:34+00:00,,1705,0.4244047619047619,0.034523809523809526,5
UN Day - Permanent Missions - UN Charter at 80 (copy 02),FOGGS,2025-10-24T15:12:01+00:00,,496,0.6032388663967612,0.07489878542510121,2
FOGGS Update October 2025,"FOGGS (Emailing List, Team)",2025-10-31T11:22:33+00:00,,1697,0.3076463560334528,0.016726403823178016,5
FOGGS Update October 2025 (copy 01),FOGGS,2025-10-31T11:22:12+00:00,,494,0.45824847250509165,0.05295315682281059,1
"Next open consultation, Nov 2025",Extra Audience,2025-11-07T09:35:24+00:00,,405,0.7035175879396985,0.20100502512562815,2
